AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,PersonMasterID
1,1,Meera Shetty,32,1,A1,PM01056
2,1,Anil Reddy,38,2,A2,PM00805
3,2,Kavya Kulkarni,51,3,A1,PM00580
4,3,Lakshmi Naik,41,2,A1,PM00791
5,4,Vijay Desai,49,1,A1,PM00198
6,4,Shreya Gowda,19,2,A2,PM00579
7,5,Deepak Kumar,60,1,A1,PM00937
8,5,Deepak Patil,51,1,A2,PM00473
9,5,Pooja Desai,55,2,A3,PM00632
10,6,Sneha Naik,65,1,A1,PM01092
11,7,Sunil Rao,34,2,A1,PM00650
12,7,Farhan Joshi,33,1,A2,PM00915
13,8,Asha Kumar,57,3,A1,PM00059
14,8,Sunil Pujari,42,1,A2,PM00393
15,8,Rahul Reddy,49,2,A3,PM00610
16,9,Nandini Kumar,39,2,A1,PM00428
17,10,Priya Sharma,64,2,A1,PM00091
18,11,Lakshmi Khan,64,2,A1,PM00225
19,11,Vijay Joshi,59,3,A2,PM00032
20,12,Divya Bhat,61,1,A1,PM00581
21,13,Kiran Shetty,35,3,A1,PM00867
22,14,Aishwarya Kumar,25,1,A1,PM00687
23,14,Manoj Pujari,39,1,A2,PM00311
24,14,Vijay Kumar,62,1,A3,PM00058
25,15,Neha Bhat,22,1,A1,PM01059
26,15,Divya Kulkarni,56,1,A2,PM00138
27,16,Prakash Hegde,31,3,A1,PM00657
28,16,Farhan Gowda,30,1,A2,PM01043
29,17,Manoj Nayak,39,2,A1,PM00897
30,17,Mahesh Kulkarni,48,3,A2,PM00798
31,18,Farhan Rao,24,1,A1,PM01035
32,19,Ajay Sharma,42,2,A1,PM01060
33,20,Sneha Kumar,22,1,A1,PM00419
34,20,Mahesh Jain,52,1,A2,PM00793
35,21,Sunil Khan,22,3,A1,PM01006
36,22,Mahesh Nayak,40,3,A1,PM00870
37,22,Kiran Patil,32,1,A2,PM01000
38,23,Shreya Nayak,62,3,A1,PM00490
39,23,Arun Pujari,36,1,A2,PM00838
40,23,Sneha Jain,62,2,A3,PM00740
41,24,Ajay Kumar,32,1,A1,PM00066
42,25,Shankar Gowda,30,1,A1,PM00320
43,25,Kiran Patil,32,1,A2,PM01000
44,26,Meera Kulkarni,57,1,A1,PM00849
45,26,Nandini Khan,61,3,A2,PM00383
46,27,Naveen Kumar,54,1,A1,PM00115
47,28,Lakshmi Naik,61,1,A1,PM00184
48,28,Anil Shetty,26,1,A2,PM00562
49,29,Pooja Sharma,36,2,A1,PM00700
50,30,Prakash Jain,44,1,A1,PM00436
51,30,Neha Rao,54,1,A2,PM00431
52,31,Lakshmi Gowda,18,1,A1,PM00881
53,31,Vijay Joshi,57,2,A2,PM01044
54,32,Priya Bhat,36,3,A1,PM00240
55,33,Ajay Patil,42,1,A1,PM00382
56,34,Deepak Kumar,60,1,A1,PM00937
57,34,Imran Patil,27,2,A2,PM00973
58,35,Pooja Reddy,35,1,A1,PM00170
59,36,Sneha Pujari,27,2,A1,PM00266
60,36,Anil Pujari,44,1,A2,PM00677
61,37,Vijay Mulla,37,1,A1,PM00888
62,37,Prakash Gowda,46,2,A2,PM00181
63,38,Kavya Khan,37,1,A1,PM00742
64,39,Naveen Patil,27,1,A1,PM00565
65,39,Naveen Nayak,35,1,A2,PM00764
66,40,Mahesh Jain,52,1,A1,PM00793
67,40,Lakshmi Rao,30,1,A2,PM00752
68,40,Aishwarya Patil,57,1,A3,PM00876
69,41,Sunil Mulla,57,1,A1,PM00228
70,42,Shankar Kumar,47,1,A1,PM00848
71,43,Asha Sharma,20,1,A1,PM00841
72,44,Ananya Gowda,52,1,A1,PM00140
73,45,Pooja Jain,31,2,A1,PM01095
74,45,Lakshmi Desai,52,1,A2,PM00159
75,45,Shankar Joshi,60,1,A3,PM00612
76,46,Asha Hegde,50,1,A1,PM00497
77,46,Sneha Bhat,58,2,A2,PM00591
78,47,Farhan Hegde,55,1,A1,PM00336
79,48,Prakash Patil,64,1,A1,PM00810
80,49,Neha Kumar,40,2,A1,PM00593
81,50,Naveen Jain,54,3,A1,PM00754
82,51,Divya Mulla,51,2,A1,PM00702
83,51,Shreya Joshi,27,1,A2,PM00618
84,52,Mahesh Jain,52,1,A1,PM00793
85,53,Meera Patil,39,2,A1,PM00787
86,54,Kiran Hegde,26,2,A1,PM00325
87,55,Priya Khan,26,2,A1,PM00958
88,56,Imran Khan,63,3,A1,PM01080
89,57,Sunil Naik,58,2,A1,PM01009
90,57,Anil Reddy,34,3,A2,PM01062
91,58,Nandini Kulkarni,37,3,A1,PM00309
92,59,Imran Hegde,55,1,A1,PM00715
93,60,Rahul Mulla,27,1,A1,PM00337
94,61,Shreya Gowda,50,1,A1,PM00134
95,62,Naveen Jain,28,1,A1,PM00343
96,62,Meera Hegde,56,1,A2,PM00808
97,63,Meera Kulkarni,57,1,A1,PM00849
98,64,Ajay Sharma,57,1,A1,PM00049
99,65,Rahul Mulla,27,1,A1,PM00337
100,65,Kiran Patil,30,1,A2,PM00766
101,66,Prakash Bhat,30,2,A1,PM01001
102,67,Anil Pujari,22,3,A1,PM00520
103,68,Sneha Khan,23,1,A1,PM00727
104,69,Pooja Kulkarni,65,1,A1,PM00206
105,70,Asha Rao,19,1,A1,PM00202
106,71,Shreya Bhat,42,2,A1,PM00913
107,72,Nandini Shetty,54,2,A1,PM00118
108,73,Anil Pujari,22,3,A1,PM00520
109,74,Priya Sharma,32,3,A1,PM00723
110,75,Vijay Joshi,57,2,A1,PM01044
111,76,Arun Joshi,20,1,A1,PM00678
112,76,Deepak Pujari,25,1,A2,PM00344
113,76,Naveen Bhat,49,1,A3,PM01093
114,77,Nandini Reddy,37,1,A1,PM00559
115,77,Shreya Sharma,22,2,A2,PM00827
116,77,Arun Kulkarni,51,3,A3,PM00043
117,78,Asha Gowda,37,2,A1,PM00543
118,78,Nandini Reddy,37,1,A2,PM00559
119,79,Nandini Patil,18,2,A1,PM00600
120,79,Naveen Naik,27,3,A2,PM00568
121,80,Lakshmi Mulla,47,2,A1,PM00065
122,80,Asha Desai,22,3,A2,PM00376
123,80,Kavya Kumar,63,1,A3,PM00717
124,81,Mahesh Sharma,20,1,A1,PM01028
