ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Mahesh Hegde,48,7,1,1,3
2,2,Prakash Kumar,19,8,6,5,2
3,3,Pooja Gowda,29,5,2,3,3
4,4,Shankar Mulla,39,2,5,4,1
5,5,Manoj Khan,26,4,6,5,2
6,6,Kiran Reddy,67,1,4,5,3
7,7,Sunil Kumar,75,7,2,5,2
8,8,Nandini Shetty,64,5,4,1,3
9,9,Neha Kulkarni,28,2,4,1,3
10,10,Ananya Kumar,74,1,3,1,1
11,11,Anil Patil,49,4,6,3,2
12,12,Pooja Mulla,34,7,3,4,2
13,13,Imran Mulla,35,3,6,3,2
14,14,Divya Reddy,20,4,2,4,1
15,15,Ravi Jain,46,5,5,5,1
16,16,Ravi Pujari,22,6,4,5,1
17,17,Aishwarya Reddy,20,3,3,1,2
18,18,Sunil Rao,39,5,3,3,2
19,19,Nandini Nayak,44,6,3,1,3
20,20,Anil Jain,32,4,1,5,3
21,21,Sneha Pujari,51,6,6,2,2
22,22,Manoj Kulkarni,69,3,2,4,1
23,23,Nandini Nayak,35,6,1,1,2
24,24,Sunil Mulla,53,7,4,5,2
25,25,Anil Bhat,41,3,3,2,3
26,26,Ananya Sharma,28,6,5,1,3
27,27,Sneha Shetty,44,3,6,1,2
28,28,Pooja Desai,70,8,3,2,2
29,29,Ajay Bhat,72,7,2,3,1
30,30,Lakshmi Rao,46,3,5,2,1
31,31,Neha Khan,56,7,6,4,1
32,32,Sunil Naik,58,6,4,3,2
33,33,Vijay Hegde,36,3,2,1,2
34,34,Neha Bhat,46,2,6,4,2
35,35,Prakash Gowda,69,3,1,1,1
36,36,Rahul Shetty,32,6,3,2,1
37,37,Sunil Kumar,72,1,1,5,2
38,38,Ajay Shetty,73,3,6,5,2
39,39,Shankar Hegde,42,3,4,5,1
40,40,Prakash Gowda,30,3,3,2,1
41,41,Imran Khan,64,7,4,1,3
42,42,Kavya Mulla,68,5,6,4,3
43,43,Ravi Khan,38,6,5,3,3
44,44,Sneha Mulla,35,7,5,2,1
45,45,Prakash Khan,19,1,5,5,1
46,46,Anil Desai,64,3,5,4,3
47,47,Farhan Bhat,72,7,1,2,3
48,48,Vijay Bhat,62,8,3,5,1
49,49,Priya Shetty,63,6,2,3,3
50,50,Anil Jain,74,7,3,2,2
51,51,Farhan Jain,61,6,5,2,2
52,52,Mahesh Kulkarni,56,8,5,2,2
53,53,Deepak Jain,45,4,2,4,2
54,54,Vijay Desai,47,2,6,3,2
55,55,Shankar Reddy,37,4,1,2,3
56,56,Mahesh Gowda,73,2,2,3,3
57,57,Meera Joshi,50,6,1,4,3
58,58,Anil Pujari,46,6,5,5,2
59,59,Mahesh Mulla,58,1,6,3,3
60,60,Mahesh Rao,43,5,5,5,1
61,61,Rahul Reddy,36,7,5,2,2
62,62,Anil Pujari,44,6,1,5,1
63,63,Prakash Khan,49,3,3,5,1
64,64,Arun Joshi,33,7,6,4,1
65,65,Shreya Khan,45,5,2,4,2
66,66,Lakshmi Gowda,30,7,2,4,3
67,67,Rahul Sharma,26,4,6,4,1
68,68,Shreya Reddy,70,6,3,2,1
69,69,Mahesh Mulla,29,5,5,2,1
70,70,Manoj Mulla,70,6,6,4,3
71,71,Imran Kumar,64,4,4,2,3
72,72,Farhan Naik,48,7,1,3,2
73,73,Shankar Nayak,27,5,2,4,1
74,74,Shreya Gowda,40,3,5,4,2
75,75,Sunil Khan,73,5,5,5,3
76,76,Neha Jain,45,6,2,3,1
77,77,Vijay Shetty,72,6,3,5,3
78,78,Kiran Khan,39,3,1,4,1
79,79,Manoj Nayak,58,7,4,4,2
80,80,Priya Hegde,64,6,1,5,3
81,81,Deepak Desai,58,3,5,3,3
82,82,Arun Bhat,71,5,6,2,2
83,83,Priya Rao,44,8,6,2,1
84,84,Anil Rao,69,2,5,5,1
85,85,Naveen Shetty,27,1,2,1,3
86,86,Manoj Reddy,67,8,1,1,3
87,87,Aishwarya Kumar,23,6,3,2,3
88,88,Mahesh Pujari,31,1,1,2,2
89,89,Priya Shetty,52,3,2,2,1
90,90,Imran Jain,52,7,5,3,3
91,91,Naveen Sharma,72,2,5,2,2
92,92,Kiran Naik,29,1,6,2,2
93,93,Shreya Jain,68,1,4,1,3
94,94,Shreya Pujari,43,1,3,4,3
95,95,Manoj Bhat,26,3,2,1,3
96,96,Sunil Sharma,69,2,4,1,2
97,97,Sunil Bhat,74,7,1,2,3
98,98,Priya Desai,34,7,2,3,1
99,99,Naveen Kumar,41,8,1,1,3
100,100,Divya Rao,19,4,4,4,1
101,101,Asha Kumar,39,1,2,3,3
102,102,Manoj Kulkarni,18,6,5,4,3
103,103,Sunil Patil,33,4,2,2,3
104,104,Asha Sharma,50,5,5,5,3
105,105,Kiran Joshi,22,7,4,1,2
106,106,Meera Jain,46,4,5,4,2
107,107,Arun Gowda,53,3,6,1,2
108,108,Kavya Khan,63,8,6,2,2
109,109,Manoj Khan,46,7,4,4,2
110,110,Rahul Hegde,36,6,3,4,2
111,111,Asha Rao,28,5,2,4,1
112,112,Kiran Sharma,65,2,1,4,3
113,113,Kavya Pujari,33,1,6,2,3
114,114,Anil Joshi,36,7,5,4,2
115,115,Ravi Nayak,34,3,1,2,3
116,116,Shankar Bhat,72,8,5,1,2
117,117,Lakshmi Desai,61,3,2,2,1
118,118,Arun Patil,63,8,6,3,1
119,119,Neha Patil,23,6,3,4,1
120,120,Farhan Hegde,40,3,5,5,1
121,121,Priya Pujari,71,7,1,4,1
122,122,Nandini Patil,37,8,2,2,3
123,123,Aishwarya Mulla,71,5,3,4,1
124,124,Sneha Hegde,62,3,4,4,2
125,125,Aishwarya Pujari,54,8,3,1,1
126,126,Nandini Hegde,39,1,1,1,1
127,127,Suresh Khan,21,8,2,3,3
128,128,Ravi Rao,19,7,5,2,2
129,129,Imran Rao,66,5,5,2,1
130,130,Priya Hegde,74,2,6,3,2
131,131,Divya Naik,18,6,4,5,3
132,132,Shankar Desai,48,3,2,5,3
133,133,Kavya Reddy,32,4,2,5,3
134,134,Sunil Patil,41,7,3,2,1
135,135,Suresh Reddy,38,8,6,5,2
136,136,Lakshmi Nayak,28,2,3,5,2
137,137,Neha Kumar,57,8,3,3,1
138,138,Sneha Kulkarni,37,1,6,1,2
139,139,Ravi Pujari,29,2,1,3,2
140,140,Asha Gowda,28,2,4,5,3
141,141,Naveen Nayak,68,1,3,3,3
142,142,Kavya Naik,72,5,6,3,3
143,143,Arun Sharma,58,2,6,1,3
144,144,Nandini Reddy,32,8,3,3,3
145,145,Aishwarya Patil,62,4,1,1,2
146,146,Sunil Hegde,21,2,5,1,3
147,147,Naveen Bhat,46,1,5,5,2
148,148,Shankar Nayak,32,2,1,3,3
149,149,Meera Reddy,46,5,6,4,1
150,150,Mahesh Desai,21,4,4,2,1
151,151,Nandini Shetty,23,3,2,1,3
152,152,Kavya Shetty,46,5,4,4,1
153,153,Nandini Sharma,39,5,3,3,3
154,154,Priya Patil,38,2,1,1,3
155,155,Divya Reddy,75,2,2,5,3
156,156,Ajay Joshi,61,7,1,4,3
157,157,Arun Shetty,69,2,5,4,3
158,158,Suresh Naik,49,4,5,1,2
159,159,Naveen Naik,33,3,3,5,3
160,160,Kavya Mulla,49,5,3,5,3
161,161,Mahesh Pujari,56,2,5,4,3
162,162,Ravi Gowda,66,6,6,4,3
163,163,Kiran Bhat,65,3,1,2,1
164,164,Mahesh Patil,45,7,2,5,3
165,165,Aishwarya Patil,60,6,6,3,1
166,166,Meera Gowda,50,6,3,2,2
167,167,Nandini Bhat,73,8,6,5,1
168,168,Shankar Hegde,46,5,6,4,3
169,169,Sneha Patil,48,8,2,4,1
170,170,Divya Mulla,39,8,1,1,1
171,171,Meera Gowda,30,5,6,4,1
172,172,Rahul Hegde,58,7,3,2,1
173,173,Rahul Kumar,30,3,1,2,3
174,174,Prakash Kumar,29,5,4,5,3
175,175,Anil Pujari,66,3,4,1,2
176,176,Ajay Pujari,54,5,5,2,1
177,177,Mahesh Khan,21,5,4,5,3
178,178,Suresh Joshi,66,8,6,1,1
179,179,Manoj Joshi,44,4,5,3,2
180,180,Kiran Gowda,53,7,2,4,3
181,181,Farhan Reddy,19,3,5,4,1
182,182,Farhan Desai,50,3,1,3,1
183,183,Neha Joshi,43,5,3,5,2
184,184,Sunil Rao,38,1,5,1,2
185,185,Shankar Mulla,25,8,2,3,1
186,186,Anil Sharma,36,3,4,5,2
187,187,Aishwarya Rao,43,1,4,3,1
188,188,Lakshmi Naik,28,4,3,1,2
189,189,Sneha Nayak,32,6,6,4,1
190,190,Lakshmi Joshi,24,7,3,3,1
191,191,Shreya Joshi,63,8,4,1,1
192,192,Arun Sharma,33,7,5,3,2
193,193,Neha Pujari,46,5,1,3,2
194,194,Prakash Joshi,57,3,3,4,2
195,195,Shankar Mulla,59,7,3,3,2
196,196,Vijay Kumar,40,7,4,1,3
197,197,Imran Patil,29,5,1,3,2
198,198,Neha Reddy,54,3,2,2,1
199,199,Suresh Kumar,39,8,6,4,2
200,200,Anil Reddy,25,6,2,5,3
201,201,Arun Reddy,28,7,2,5,2
202,202,Imran Jain,62,2,3,5,2
203,203,Naveen Hegde,73,5,2,1,2
204,204,Priya Patil,69,1,6,2,1
205,205,Naveen Reddy,64,3,1,2,1
206,206,Farhan Rao,31,8,4,1,2
207,207,Arun Nayak,31,6,1,3,3
208,208,Neha Desai,73,7,2,3,3
209,209,Asha Joshi,55,5,5,2,2
210,210,Anil Nayak,59,1,5,5,3
211,211,Anil Patil,46,4,2,4,3
212,212,Manoj Khan,32,5,6,3,3
213,213,Sneha Sharma,51,4,2,2,3
214,214,Sneha Bhat,68,8,2,4,2
215,215,Farhan Sharma,68,1,5,2,1
216,216,Sunil Khan,63,3,5,3,2
217,217,Arun Jain,51,7,3,3,1
218,218,Nandini Sharma,52,7,5,3,2
219,219,Meera Reddy,58,3,3,4,3
220,220,Sneha Patil,71,4,3,5,2
221,221,Aishwarya Sharma,49,7,3,3,3
222,222,Sunil Mulla,21,2,5,4,1
223,223,Ravi Nayak,58,4,4,5,3
224,224,Ravi Gowda,25,7,2,3,3
225,225,Divya Reddy,69,3,3,5,3
226,226,Divya Pujari,64,3,1,5,1
227,227,Priya Bhat,30,2,2,2,2
228,228,Arun Hegde,18,5,5,4,3
229,229,Manoj Khan,28,8,1,2,2
230,230,Ananya Reddy,31,1,4,2,1
231,231,Anil Reddy,60,6,5,4,1
232,232,Sunil Reddy,32,3,2,3,3
233,233,Kavya Rao,67,4,5,3,1
234,234,Nandini Kumar,49,6,6,2,2
235,235,Neha Gowda,64,3,2,1,3
236,236,Suresh Rao,46,2,6,4,1
237,237,Divya Desai,65,6,6,2,2
238,238,Meera Naik,34,2,1,2,2
239,239,Kiran Patil,58,6,1,3,3
240,240,Nandini Sharma,37,8,2,2,3
241,241,Lakshmi Kumar,75,6,2,2,2
242,242,Kavya Naik,24,1,5,3,2
243,243,Manoj Pujari,20,7,4,2,3
244,244,Vijay Jain,42,1,2,1,1
245,245,Mahesh Gowda,75,8,5,4,3
246,246,Ravi Gowda,55,6,6,2,3
247,247,Sneha Shetty,65,8,3,3,1
248,248,Aishwarya Jain,55,3,2,1,1
249,249,Rahul Sharma,42,6,4,4,3
250,250,Priya Bhat,69,3,4,3,3
251,251,Ajay Khan,63,6,1,2,2
252,252,Aishwarya Nayak,53,6,3,1,1
253,253,Shreya Kumar,28,1,3,1,3
254,254,Deepak Gowda,22,1,6,4,2
255,255,Kiran Sharma,35,2,1,4,1
256,256,Ravi Kumar,42,8,6,2,3
257,257,Naveen Shetty,60,1,6,2,3
258,258,Manoj Shetty,32,2,2,4,3
259,259,Kavya Patil,35,8,2,3,1
260,260,Sunil Pujari,74,2,1,3,2
261,261,Deepak Patil,49,6,3,2,1
262,262,Kavya Mulla,28,6,5,2,3
263,263,Aishwarya Hegde,75,5,1,5,1
264,264,Rahul Naik,38,1,4,3,3
265,265,Suresh Kulkarni,71,6,5,1,3
266,266,Sneha Khan,31,4,2,1,1
267,267,Suresh Hegde,55,2,5,3,2
268,268,Pooja Shetty,72,1,5,5,1
269,269,Vijay Shetty,20,6,2,1,3
270,270,Pooja Bhat,71,6,2,3,2
271,271,Vijay Joshi,47,2,5,1,3
272,272,Mahesh Jain,43,2,1,4,3
273,273,Nandini Kumar,64,1,6,1,1
274,274,Manoj Kulkarni,21,1,1,2,3
275,275,Pooja Hegde,63,7,3,3,2
276,276,Farhan Patil,52,5,1,3,1
277,277,Meera Reddy,44,8,4,4,2
278,278,Mahesh Kulkarni,39,7,6,5,1
279,279,Suresh Jain,24,7,1,5,1
280,280,Manoj Hegde,48,7,6,3,3
281,281,Rahul Rao,69,6,5,2,1
282,282,Lakshmi Joshi,23,6,2,1,3
283,283,Shreya Kulkarni,35,5,2,1,3
284,284,Ravi Jain,43,3,5,2,2
285,285,Sunil Shetty,36,5,6,5,2
286,286,Shankar Sharma,19,4,5,2,3
287,287,Anil Rao,70,5,4,2,3
288,288,Asha Nayak,46,6,5,2,2
289,289,Rahul Khan,42,5,1,4,2
290,290,Vijay Hegde,46,2,2,5,3
291,291,Neha Nayak,43,6,4,5,3
292,292,Prakash Kumar,61,6,4,3,1
293,293,Lakshmi Jain,44,3,1,3,2
294,294,Aishwarya Shetty,23,1,5,1,2
