VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Farhan Rao,72,2,0
2,2,Ananya Hegde,35,2,0
3,3,Sneha Rao,42,1,1
4,4,Nandini Sharma,33,3,0
5,5,Naveen Khan,66,1,0
6,6,Vijay Kumar,32,1,0
7,7,Lakshmi Bhat,80,1,1
8,8,Vijay Khan,59,1,0
9,8,Anil Gowda,17,3,0
10,9,Farhan Rao,15,2,0
11,10,Divya Shetty,47,1,1
12,11,Anil Hegde,22,2,0
13,12,Vijay Hegde,79,3,0
14,13,Sunil Naik,76,1,0
15,14,Ananya Shetty,52,2,0
16,15,Prakash Hegde,39,3,1
17,16,Aishwarya Mulla,24,3,0
18,17,Sneha Rao,53,1,1
19,18,Shankar Nayak,49,2,0
20,19,Priya Jain,24,1,1
21,20,Anil Naik,67,2,0
22,21,Rahul Rao,29,1,0
23,22,Mahesh Nayak,62,2,0
24,23,Imran Shetty,36,3,0
25,23,Lakshmi Pujari,63,2,0
26,25,Shreya Mulla,58,3,0
27,25,Sunil Pujari,53,2,0
28,27,Deepak Hegde,63,2,1
29,28,Lakshmi Jain,70,1,0
30,28,Farhan Mulla,70,1,0
31,28,Kiran Rao,31,3,0
32,30,Anil Jain,57,1,0
33,31,Naveen Bhat,74,3,0
34,32,Farhan Patil,78,3,0
35,33,Farhan Mulla,74,2,0
36,34,Neha Patil,58,2,1
37,35,Kavya Nayak,28,2,0
38,35,Divya Nayak,8,3,0
39,36,Ajay Patil,24,2,0
40,37,Asha Patil,24,3,1
41,38,Priya Shetty,15,1,0
42,39,Meera Kulkarni,77,3,0
43,40,Shankar Sharma,69,1,1
44,41,Naveen Jain,8,3,0
45,42,Vijay Rao,32,3,0
46,42,Shreya Hegde,69,1,0
47,43,Farhan Gowda,11,2,0
48,44,Naveen Desai,47,2,0
49,45,Manoj Gowda,51,2,0
50,46,Deepak Patil,75,3,0
51,47,Ravi Khan,51,2,1
52,48,Pooja Naik,26,3,0
53,49,Divya Hegde,42,2,1
